category,subcategory,account,year,value
REVENUE,,Gross Sales,2020,19130
REVENUE,,Less Sales Returns and Allowances,2020,0
COST OF SALES,,Beginning inventory,2020,300
COST OF SALES,,Plus Goods Purchased or Manufactured,2020,100
COST OF SALES,,TOTAL GOODS AVAILABLE,2020,400
COST OF SALES,,Less ending inventory,2020,200
OPERATING EXPENSES,SELLING,Salaries and Wages,2020,700
OPERATING EXPENSES,SELLING,Commissions,2020,10
OPERATING EXPENSES,SELLING,Advertising,2020,500
OPERATING EXPENSES,SELLING,Depreciation,2020,20
OPERATING EXPENSES,SELLING,Other  (i.e. Professional Fees),2020,0
OPERATING EXPENSES,GENERAL AND ADMINISTRATION,Salaries and Wages,2020,200
OPERATING EXPENSES,GENERAL AND ADMINISTRATION,Employee Benefits,2020,3
OPERATING EXPENSES,GENERAL AND ADMINISTRATION,Payroll Taxes,2020,1
OPERATING EXPENSES,GENERAL AND ADMINISTRATION,Insurance,2020,400
TAXES,,Taxes on income,2020,3419.2
OTHER INCOME,,Extraordinary Gain or Loss,2020,19
OTHER INCOME,,Income Tax on Extraordinary Gain,2020,3
REVENUE,,Gross Sales,2021,30225.4
REVENUE,,Less Sales Returns and Allowances,2021,0
COST OF SALES,,Beginning inventory,2021,310
COST OF SALES,,Plus Goods Purchased or Manufactured,2021,120
COST OF SALES,,TOTAL GOODS AVAILABLE,2021,430
COST OF SALES,,Less ending inventory,2021,250
OPERATING EXPENSES,SELLING,Salaries and Wages,2021,735
OPERATING EXPENSES,SELLING,Commissions,2021,10.5
OPERATING EXPENSES,SELLING,Advertising,2021,525
OPERATING EXPENSES,SELLING,Depreciation,2021,24
OPERATING EXPENSES,SELLING,Other  (i.e. Professional Fees),2021,0
OPERATING EXPENSES,GENERAL AND ADMINISTRATION,Salaries and Wages,2021,210
OPERATING EXPENSES,GENERAL AND ADMINISTRATION,Employee Benefits,2021,3.15
OPERATING EXPENSES,GENERAL AND ADMINISTRATION,Payroll Taxes,2021,2
OPERATING EXPENSES,GENERAL AND ADMINISTRATION,Insurance,2021,420
TAXES,,Taxes on income,2021,5623.15
OTHER INCOME,,Extraordinary Gain or Loss,2021,0
OTHER INCOME,,Income Tax on Extraordinary Gain,2021,0
REVENUE,,Gross Sales,2022,47756.132
REVENUE,,Less Sales Returns and Allowances,2022,0
COST OF SALES,,Beginning inventory,2022,320
COST OF SALES,,Plus Goods Purchased or Manufactured,2022,140
COST OF SALES,,TOTAL GOODS AVAILABLE,2022,460
COST OF SALES,,Less ending inventory,2022,300
OPERATING EXPENSES,SELLING,Salaries and Wages,2022,771.75
OPERATING EXPENSES,SELLING,Commissions,2022,11.025
OPERATING EXPENSES,SELLING,Advertising,2022,551.25
OPERATING EXPENSES,SELLING,Depreciation,2022,28.8
OPERATING EXPENSES,SELLING,Other  (i.e. Professional Fees),2022,0
OPERATING EXPENSES,GENERAL AND ADMINISTRATION,Salaries and Wages,2022,220.5
OPERATING EXPENSES,GENERAL AND ADMINISTRATION,Employee Benefits,2022,3.3075
OPERATING EXPENSES,GENERAL AND ADMINISTRATION,Payroll Taxes,2022,3
OPERATING EXPENSES,GENERAL AND ADMINISTRATION,Insurance,2022,441
TAXES,,Taxes on income,2022,9113.0999
OTHER INCOME,,Extraordinary Gain or Loss,2022,10
OTHER INCOME,,Income Tax on Extraordinary Gain,2022,2
REVENUE,,Gross Sales,2023,75454.68856
REVENUE,,Less Sales Returns and Allowances,2023,0
COST OF SALES,,Beginning inventory,2023,330
COST OF SALES,,Plus Goods Purchased or Manufactured,2023,160
COST OF SALES,,TOTAL GOODS AVAILABLE,2023,490
COST OF SALES,,Less ending inventory,2023,350
OPERATING EXPENSES,SELLING,Salaries and Wages,2023,810.3375
OPERATING EXPENSES,SELLING,Commissions,2023,11.57625
OPERATING EXPENSES,SELLING,Advertising,2023,578.8125
OPERATING EXPENSES,SELLING,Depreciation,2023,34.56
OPERATING EXPENSES,SELLING,Other  (i.e. Professional Fees),2023,0
OPERATING EXPENSES,GENERAL AND ADMINISTRATION,Salaries and Wages,2023,231.525
OPERATING EXPENSES,GENERAL AND ADMINISTRATION,Employee Benefits,2023,3.472875
OPERATING EXPENSES,GENERAL AND ADMINISTRATION,Payroll Taxes,2023,4
OPERATING EXPENSES,GENERAL AND ADMINISTRATION,Insurance,2023,463.05
TAXES,,Taxes on income,2023,14635.47089
OTHER INCOME,,Extraordinary Gain or Loss,2023,0
OTHER INCOME,,Income Tax on Extraordinary Gain,2023,0
REVENUE,,Gross Sales,2024,119218.4079
REVENUE,,Less Sales Returns and Allowances,2024,0
COST OF SALES,,Beginning inventory,2024,340
COST OF SALES,,Plus Goods Purchased or Manufactured,2024,170
COST OF SALES,,TOTAL GOODS AVAILABLE,2024,510
COST OF SALES,,Less ending inventory,2024,350
OPERATING EXPENSES,SELLING,Salaries and Wages,2024,850.854375
OPERATING EXPENSES,SELLING,Commissions,2024,12.1550625
OPERATING EXPENSES,SELLING,Advertising,2024,607.753125
OPERATING EXPENSES,SELLING,Depreciation,2024,41.472
OPERATING EXPENSES,SELLING,Other  (i.e. Professional Fees),2024,0
OPERATING EXPENSES,GENERAL AND ADMINISTRATION,Salaries and Wages,2024,243.10125
OPERATING EXPENSES,GENERAL AND ADMINISTRATION,Employee Benefits,2024,3.64651875
OPERATING EXPENSES,GENERAL AND ADMINISTRATION,Payroll Taxes,2024,4
OPERATING EXPENSES,GENERAL AND ADMINISTRATION,Insurance,2024,486.2025
TAXES,,Taxes on income,2024,23361.84462
OTHER INCOME,,Extraordinary Gain or Loss,2024,0
OTHER INCOME,,Income Tax on Extraordinary Gain,2024,0
